,label,group,AU01_mean,AU01_std,AU01_e0_length,AU01_e0_intensity,AU01_e0_amount,AU01_e1_length,AU01_e1_intensity,AU01_e1_amount,AU01_e2_length,AU01_e2_intensity,AU01_e2_amount,AU02_mean,AU02_std,AU02_e0_length,AU02_e0_intensity,AU02_e0_amount,AU02_e1_length,AU02_e1_intensity,AU02_e1_amount,AU02_e2_length,AU02_e2_intensity,AU02_e2_amount,AU04_mean,AU04_std,AU04_e0_length,AU04_e0_intensity,AU04_e0_amount,AU04_e1_length,AU04_e1_intensity,AU04_e1_amount,AU04_e2_length,AU04_e2_intensity,AU04_e2_amount,AU05_mean,AU05_std,AU05_e0_length,AU05_e0_intensity,AU05_e0_amount,AU05_e1_length,AU05_e1_intensity,AU05_e1_amount,AU05_e2_length,AU05_e2_intensity,AU05_e2_amount,AU06_mean,AU06_std,AU06_e0_length,AU06_e0_intensity,AU06_e0_amount,AU06_e1_length,AU06_e1_intensity,AU06_e1_amount,AU06_e2_length,AU06_e2_intensity,AU06_e2_amount,AU07_mean,AU07_std,AU07_e0_length,AU07_e0_intensity,AU07_e0_amount,AU07_e1_length,AU07_e1_intensity,AU07_e1_amount,AU07_e2_length,AU07_e2_intensity,AU07_e2_amount,AU09_mean,AU09_std,AU09_e0_length,AU09_e0_intensity,AU09_e0_amount,AU09_e1_length,AU09_e1_intensity,AU09_e1_amount,AU09_e2_length,AU09_e2_intensity,AU09_e2_amount,AU10_mean,AU10_std,AU10_e0_length,AU10_e0_intensity,AU10_e0_amount,AU10_e1_length,AU10_e1_intensity,AU10_e1_amount,AU10_e2_length,AU10_e2_intensity,AU10_e2_amount,AU12_mean,AU12_std,AU12_e0_length,AU12_e0_intensity,AU12_e0_amount,AU12_e1_length,AU12_e1_intensity,AU12_e1_amount,AU12_e2_length,AU12_e2_intensity,AU12_e2_amount,AU15_mean,AU15_std,AU15_e0_length,AU15_e0_intensity,AU15_e0_amount,AU15_e1_length,AU15_e1_intensity,AU15_e1_amount,AU15_e2_length,AU15_e2_intensity,AU15_e2_amount,AU17_mean,AU17_std,AU17_e0_length,AU17_e0_intensity,AU17_e0_amount,AU17_e1_length,AU17_e1_intensity,AU17_e1_amount,AU17_e2_length,AU17_e2_intensity,AU17_e2_amount
0,angry,coda_sign,0.15295180722891566,0.22982540955147238,6.0,0.16,2,6.0,0.895,1,2.5,0.27249999999999996,2,0.07500000000000001,0.16727676213842482,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.12277108433734939,0.22902593873481347,0.0,0.0,0,3.0,0.93,1,1.0,0.7,1,0.05427710843373494,0.11471871404260148,9.5,0.005694444444444445,4,4.5,0.015000000000000003,2,17.0,0.15396825396825395,2,0.033734939759036145,0.09017438786240795,4.0,0.0,1,45.0,0.08422222222222223,1,0.0,0.0,0,0.4659638554216867,0.41132009052253926,12.5,0.7748412698412699,2,54.0,0.5648148148148148,1,5.0,0.6455555555555555,2,0.11331325301204821,0.21648819284541823,0.0,0.0,0,8.5,0.6692361111111111,2,0.0,0.0,0,0.062228915662650604,0.20224910085135292,0.0,0.0,0,7.0,0.3562121212121212,2,0.0,0.0,0,0.24692771084337348,0.3548737131971941,10.0,0.32399999999999995,1,44.0,0.7156818181818182,1,9.0,0.27666666666666667,1,0.3060843373493975,0.5098125313157061,6.5,0.37630952380952387,2,10.0,0.5985185185185186,3,23.0,0.9808695652173914,1,0.8936144578313255,0.8561918197895567,8.0,1.5048571428571427,3,54.0,1.3192592592592591,1,8.0,1.346875,2
1,angry,coda_speech,0.13898305084745763,0.21860604556152854,0.0,0.0,0,0.0,0.0,0,2.0,0.335,1,0.05661016949152542,0.11631719666337369,0.0,0.0,0,3.0,0.043333333333333335,1,0.0,0.0,0,0.03779661016949152,0.10290718611364404,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.028305084745762717,0.06212203069634413,19.0,0.0,1,19.0,0.0,1,18.0,0.07444444444444447,1,0.0035593220338983053,0.015510031444020552,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.025254237288135594,0.046288299415406374,3.0,0.11333333333333334,1,0.0,0.0,0,0.0,0.0,0,0.1688135593220339,0.3102450907987087,16.0,0.5587500000000001,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0015254237288135593,0.006647156333151664,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.15847457627118644,0.21614820553565295,3.0,0.31,1,0.0,0.0,0,2.0,0.12,1,0.6393220338983052,0.39051188514201624,7.0,1.0814285714285714,1,2.5,0.7725,2,4.5,0.9702500000000001,2
2,happy,coda_sign,0.24648148148148147,0.3568562495339399,21.0,0.7142857142857141,1,10.0,0.2919999999999999,1,0.0,0.0,0,0.09351851851851853,0.18268155641916517,21.0,0.3623809523809524,1,4.0,0.4475,1,0.0,0.0,0,0.14425925925925928,0.23131967484314778,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.05148148148148149,0.1274466339832973,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.291851851851852,0.6975205060438573,35.0,1.28,1,35.0,0.8608571428571428,1,35.0,1.7485714285714287,1,2.1367592592592595,0.47764184897763434,35.0,1.8851428571428577,1,35.0,2.0451428571428565,1,35.0,2.483714285714286,1,0.0649074074074074,0.11312465517370171,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.7839814814814815,0.6315149265516989,29.0,0.7665517241379312,1,24.0,0.695,1,28.0,1.4689285714285714,1,1.6340740740740738,0.8542658618287695,35.0,1.9954285714285716,1,35.0,1.055142857142857,1,35.0,1.8517142857142859,1,0.12037037037037036,0.2217429931288263,8.0,0.43124999999999997,1,4.666666666666667,0.17866666666666664,3,12.0,0.05166666666666667,1,1.0272222222222223,0.8859556678992838,9.5,1.3672222222222221,2,12.0,1.6654736842105264,2,12.0,1.7916666666666667,1
3,happy,coda_speech,0.12055555555555555,0.1666361607301761,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.05962962962962962,0.1287232362798217,3.0,0.11666666666666665,1,0.0,0.0,0,0.0,0.0,0,0.06074074074074075,0.08034951601577481,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.03462962962962963,0.06734067045978562,6.5,0.03642857142857143,2,17.0,0.02,1,17.0,0.057058823529411766,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.04574074074074074,0.0906080477047978,4.0,0.25,1,0.0,0.0,0,0.0,0.0,0,0.04611111111111111,0.08828377629685255,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0022222222222222222,0.00793051585718144,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.08944444444444445,0.1278769554035067,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.27685185185185185,0.2164187422051011,0.0,0.0,0,0.0,0.0,0,4.0,0.645,1
4,neutral,coda_sign,0.23622950819672128,0.3356419006889761,33.0,0.46090909090909093,1,60.0,0.43816666666666665,1,4.0,0.1,1,0.08557377049180329,0.17364095129770918,33.0,0.2548484848484849,1,25.5,0.12921296296296297,2,4.0,0.0,1,0.04153005464480874,0.08730933967824943,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.062076502732240434,0.12589047500741282,35.0,0.10628571428571428,1,0.0,0.0,0,55.0,0.03145454545454546,1,0.2689071038251366,0.5210944812179954,28.0,1.2724999999999997,1,7.0,0.4507777777777777,3,0.0,0.0,0,0.8175409836065572,0.7418724211380154,33.0,1.5584848484848486,1,27.0,1.3488324175824178,2,5.0,1.128,1,0.04595628415300546,0.08279484941355542,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.19355191256830598,0.4357082856710048,28.0,1.025,1,6.5,0.38925,2,0.0,0.0,0,0.44437158469945354,0.7625301389548532,33.0,1.8633333333333333,1,1.0,1.13,1,0.0,0.0,0,0.34475409836065574,0.48087925384919833,8.0,1.0875,2,53.0,0.7347169811320754,1,0.0,0.0,0,0.7762295081967212,0.9575492365634068,12.5,1.7902573529411763,2,19.0,2.0771306818181814,2,0.0,0.0,0
5,neutral,coda_speech,0.10882352941176471,0.13200553371219295,0.0,0.0,0,0.0,0.0,0,3.0,0.30666666666666664,1,0.0225,0.038840469739078065,2.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.033382352941176474,0.07212365612949412,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.05132352941176471,0.09858558539187573,1.0,0.0,1,5.0,0.23200000000000004,1,1.0,0.0,1,0.9057352941176471,0.29524751152904116,22.0,0.8772727272727273,1,22.0,1.0404545454545455,1,21.0,0.7561904761904762,1,1.385735294117647,0.30904434390055924,22.0,1.264090909090909,1,22.0,1.2786363636363636,1,21.0,1.6271428571428568,1,0.07044117647058823,0.1212181187324858,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.07985294117647058,0.16463884171171633,8.0,0.09250000000000001,1,6.0,0.258,2,1.0,0.0,1,1.4714705882352943,0.43330822060908336,22.0,1.7013636363636364,1,22.0,1.5481818181818183,1,21.0,1.1152380952380951,1,0.18955882352941175,0.3423031467125909,0.0,0.0,0,7.0,1.0585714285714285,1,4.0,0.535,1,0.6116176470588235,0.42723550880333055,0.0,0.0,0,6.0,0.9582857142857143,2,18.0,0.9205555555555556,2
6,sad,coda_sign,0.1208314087759815,0.17004425276996013,14.0,0.35428571428571426,1,14.5,0.2287797619047619,2,8.0,0.0791111111111111,3,0.06300230946882218,0.13756561563764805,11.666666666666666,0.1819166666666667,3,11.5,0.376468253968254,2,3.0,0.0,1,0.6530715935334872,0.9629432778915772,6.0,0.20833333333333334,2,6.333333333333333,0.7476785714285713,3,113.0,2.191327433628319,1,0.04600461893764435,0.11534958932043846,14.833333333333334,0.053809622277364216,6,33.0,0.09575,2,13.5,0.11083333333333334,2,0.13861431870669746,0.26843066122761133,10.0,0.0,2,15.5,0.1347809523809524,4,42.5,0.4875245441795232,2,0.4863279445727483,0.5241674647403187,27.0,0.11365733841143677,3,26.75,0.41069599414669833,4,43.666666666666664,0.6068115942028985,3,0.07854503464203234,0.146967678575563,0.0,0.0,0,1.0,0.15,1,29.0,0.31386363636363634,2,0.02297921478060046,0.10961693414869704,0.0,0.0,0,9.0,0.0,1,20.0,0.33166666666666667,2,0.15113163972286373,0.2537612682069133,22.0,0.3931196581196581,2,20.666666666666668,0.3829970760233918,3,28.0,0.6160714285714286,1,0.14242494226327945,0.20614154730328277,7.0,0.3720833333333333,2,8.5,0.5677884615384615,2,52.0,0.27802660753880265,2,0.6957505773672055,0.6180884155977959,16.25,1.2488187499999999,4,13.5,1.0622916666666666,2,23.0,1.5235585585585585,2
7,sad,coda_speech,0.07991452991452992,0.10949331365584594,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.03948717948717948,0.08212528437830523,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.22658119658119658,0.2765774892763653,10.5,0.59325,2,0.0,0.0,0,0.0,0.0,0,0.0435042735042735,0.11170555692129629,11.0,0.0,2,13.0,0.0482,2,38.0,0.06052631578947368,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.2596581196581197,0.2680322022081894,27.0,0.6129629629629628,1,7.0,0.2557142857142857,2,3.0,0.06250000000000001,3,0.04743589743589744,0.08606486974203544,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.061282051282051296,0.0818802580468878,3.0,0.09999999999999999,1,0.0,0.0,0,0.0,0.0,0,0.4083760683760683,0.302908194994381,1.0,0.81,1,1.0,0.33,1,12.5,0.70175,2
8,neutral,coda_sign,0.2554705882352941,0.3685202486784715,2.0,0.0,1,8.5,0.6529912280701754,4,12.0,0.4458333333333333,1,0.10852941176470587,0.21805667187128425,39.0,0.03282051282051282,1,9.333333333333334,0.30342592592592593,3,0.0,0.0,0,0.1595294117647059,0.2739235235662785,0.0,0.0,0,5.0,0.666,1,7.0,0.9528571428571428,1,0.09770588235294117,0.2628294528148783,10.0,0.0,3,13.333333333333334,0.11210526315789475,3,10.666666666666666,0.34369047619047616,3,0.29817647058823527,0.4931803246067158,16.5,0.6464583333333334,2,13.0,0.28461538461538455,1,21.0,0.6461904761904762,1,1.0728235294117647,0.7366710854923568,55.0,1.3269090909090913,1,10.0,1.050888888888889,4,24.0,1.8787500000000001,1,0.1653529411764706,0.32879940129670776,0.0,0.0,0,0.0,0.0,0,1.0,1.74,1,0.28105882352941175,0.5599979364488856,23.0,1.5665217391304345,1,4.0,0.08499999999999999,1,11.0,0.649090909090909,1,0.5264117647058824,0.8205205130201244,19.0,1.3483522727272728,2,7.0,0.76,1,0.0,0.0,0,0.2001764705882353,0.30638273919240866,3.0,0.04,1,27.0,0.5703703703703704,1,22.0,0.3068181818181818,1,1.0706470588235295,0.797217902189345,5.0,1.3379999999999999,1,12.5,1.7439743589743588,2,20.0,1.8887844611528823,2
9,neutral,coda_speech,0.08215686274509804,0.11179112174927303,3.0,0.31666666666666665,1,0.0,0.0,0,0.0,0.0,0,0.04686274509803922,0.09091732939497138,4.0,0.28500000000000003,1,0.0,0.0,0,0.0,0.0,0,0.43392156862745096,0.19576596671916752,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.02549019607843137,0.0526996670004734,5.0,0.027857142857142858,2,16.0,0.001875,1,16.0,0.03937500000000001,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.06901960784313727,0.07882270997525483,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.049411764705882356,0.10861697408243118,5.0,0.358,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.09411764705882354,0.13866760934822864,0.0,0.0,0,7.0,0.3328571428571428,1,0.0,0.0,0,0.27098039215686276,0.19604341255916544,0.0,0.0,0,3.0,0.4066666666666667,1,9.0,0.5311111111111111,1
